Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Profit,Cum. net profit,Commission
1,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24128.50,24103.00,1/5/2026 9:45:00 AM,1/5/2026 9:50:00 AM,$51.00,$51.00,$0.74
2,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6846.00,6825.75,1/5/2026 10:49:00 AM,1/5/2026 11:22:00 AM,$101.50,$152.50,$0.74
3,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24162.75,24214.25,1/5/2026 11:48:00 AM,1/5/2026 11:51:00 AM,$103.00,$255.50,$0.74
4,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24265.75,24240.75,1/5/2026 12:48:00 PM,1/5/2026 1:18:00 PM,($50.00),$205.50,$0.74
5,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24218.00,24253.25,1/5/2026 2:09:00 PM,1/5/2026 2:30:00 PM,$70.50,$276.00,$0.74
6,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24145.50,24152.00,1/6/2026 10:07:00 AM,1/6/2026 10:26:00 AM,$13.00,$289.00,$0.74
7,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24165.50,24210.50,1/6/2026 11:45:00 AM,1/6/2026 11:56:00 AM,($90.00),$199.00,$0.74
8,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6869.25,6866.75,1/6/2026 1:19:00 PM,1/6/2026 1:58:00 PM,($12.00),$187.00,$0.74
9,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24272.25,24281.50,1/6/2026 2:48:00 PM,1/6/2026 3:14:00 PM,$18.50,$205.50,$0.74
10,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6797.50,6774.75,1/7/2026 10:01:00 AM,1/7/2026 10:19:00 AM,$113.50,$319.00,$0.74
11,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6786.00,6793.50,1/7/2026 11:15:00 AM,1/7/2026 11:35:00 AM,($37.50),$281.50,$0.74
12,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24179.75,24175.75,1/7/2026 12:55:00 PM,1/7/2026 1:28:00 PM,$8.00,$289.50,$0.74
13,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24208.50,24189.75,1/7/2026 2:48:00 PM,1/7/2026 3:01:00 PM,$37.50,$327.00,$0.74
14,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6816.00,6812.50,1/8/2026 9:46:00 AM,1/8/2026 9:54:00 AM,($17.50),$309.50,$0.74
15,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6926.50,6923.00,1/8/2026 10:21:00 AM,1/8/2026 10:48:00 AM,($17.00),$292.50,$0.74
16,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6888.00,6901.75,1/9/2026 9:35:00 AM,1/9/2026 9:52:00 AM,$69.00,$361.50,$0.74
17,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24129.50,24119.00,1/9/2026 10:39:00 AM,1/9/2026 11:10:00 AM,($21.00),$340.50,$0.74
18,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6902.00,6910.50,1/9/2026 11:30:00 AM,1/9/2026 12:06:00 PM,($43.00),$297.50,$0.74
19,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6802.00,6820.00,1/9/2026 12:45:00 PM,1/9/2026 1:00:00 PM,($90.00),$207.50,$0.74
20,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6834.50,6833.00,1/12/2026 9:38:00 AM,1/12/2026 9:44:00 AM,($7.50),$200.00,$0.74
21,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6923.25,6927.00,1/12/2026 10:52:00 AM,1/12/2026 11:26:00 AM,($19.00),$181.00,$0.74
22,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6854.75,6865.75,1/12/2026 12:55:00 PM,1/12/2026 1:32:00 PM,$55.00,$236.00,$0.74
23,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24169.75,24154.50,1/13/2026 10:09:00 AM,1/13/2026 10:31:00 AM,$30.50,$266.50,$0.74
24,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24198.50,24157.75,1/13/2026 11:43:00 AM,1/13/2026 12:04:00 PM,$81.50,$348.00,$0.74
25,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6907.00,6901.00,1/13/2026 1:20:00 PM,1/13/2026 1:55:00 PM,($29.50),$318.50,$0.74
26,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24136.50,24141.00,1/14/2026 10:05:00 AM,1/14/2026 10:28:00 AM,($9.00),$309.50,$0.74
27,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6796.75,6803.75,1/14/2026 11:53:00 AM,1/14/2026 12:26:00 PM,$35.50,$345.00,$0.74
28,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24223.00,24247.00,1/15/2026 9:40:00 AM,1/15/2026 9:48:00 AM,$48.00,$393.00,$0.74
29,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24193.75,24181.50,1/15/2026 10:10:00 AM,1/15/2026 10:21:00 AM,$24.50,$417.50,$0.74
30,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24195.00,24172.00,1/15/2026 11:06:00 AM,1/15/2026 11:23:00 AM,($46.00),$371.50,$0.74
31,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24278.00,24249.25,1/15/2026 11:58:00 AM,1/15/2026 12:21:00 PM,$57.50,$429.00,$0.74
32,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6898.75,6920.00,1/15/2026 12:46:00 PM,1/15/2026 12:59:00 PM,$106.00,$535.00,$0.74
33,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6884.25,6880.00,1/16/2026 9:55:00 AM,1/16/2026 10:15:00 AM,($21.00),$514.00,$0.74
34,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6828.25,6833.25,1/19/2026 10:05:00 AM,1/19/2026 10:13:00 AM,($24.50),$489.50,$0.74
35,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24181.50,24188.25,1/20/2026 9:47:00 AM,1/20/2026 9:52:00 AM,$13.50,$503.00,$0.74
36,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24197.50,24191.00,1/20/2026 10:46:00 AM,1/20/2026 11:04:00 AM,$13.00,$516.00,$0.74
